date,open,high,low,close,volume,market cap
2014-04-29,430.716,447.534,422.942,440.285,20057905.21276596,5538193588.137762
2014-04-30,439.983,451.636,435.181,447.209,17729711.637931034,5648995375.596568
2014-05-01,446.89,451.099,436.699,447.645,16192266.0,5665748361.276837
2014-05-02,447.633,460.614,447.633,457.76,13583543.75,5772589945.96021
2014-05-03,457.364,457.929,443.403,449.377,12035047.804878049,5711512740.084543
2014-05-04,449.403,449.403,430.682,437.762,9093119.548611112,5609350326.165001
2014-05-05,438.517,439.769,430.054,436.403,8485122.847222222,5533459707.548426
2014-05-06,434.782,440.974,427.617,433.482,8424945.400696864,5504987625.175509
2014-05-07,433.364,448.038,423.251,428.962,11729299.475,5469268312.549535
2014-05-08,429.341,446.128,428.451,438.821,13112136.875,5560596188.85891
2014-05-09,438.679,448.399,438.143,440.169,14989552.100358425,5634284211.046922
2014-05-10,440.178,452.692,440.143,449.461,9228733.93728223,5675715465.392167
2014-05-11,450.456,455.771,448.468,454.433,9006769.583333334,5755037103.879792
2014-05-12,453.92,455.339,433.401,438.886,8734502.708333334,5674578468.463314
2014-05-13,438.303,442.26,434.231,441.462,10811231.533101045,5604940637.068017
2014-05-14,441.531,441.976,436.967,440.671,7292215.0,5614877544.136142
2014-05-15,440.592,446.659,440.503,443.972,8088830.55944056,5660700628.614156
2014-05-16,444.136,449.799,443.63,447.252,9029015.416666666,5712151010.663885
2014-05-17,447.386,450.661,444.964,448.058,6755427.108013937,5723841425.747995
2014-05-18,448.117,451.98,447.301,448.903,4925623.611111111,5741243362.433937
2014-05-19,448.701,449.767,444.784,446.264,2688736.145833333,5721549370.408863
2014-05-20,446.076,447.555,443.1,446.181,4480137.108013937,5695099175.469039
2014-05-21,446.305,491.444,446.007,485.724,20856204.756944444,5942184301.398101
2014-05-22,485.8,494.369,483.489,491.77,31202923.50526316,6284435828.300891
2014-05-23,492.049,525.356,490.191,524.579,23426467.013888888,6504807489.705106
2014-05-24,525.715,541.956,520.076,520.222,34918169.33797909,6761509976.632479
2014-05-25,521.051,525.17,516.281,525.138,17908664.925373133,6673436229.018341
2014-05-26,525.228,576.478,525.228,571.588,32500836.45833333,7162474548.671399
2014-05-27,571.393,588.389,565.332,583.424,39562935.48387097,7428096753.985555
2014-05-28,582.588,589.517,554.434,571.244,30472731.707317077,7356534718.950901
2014-05-29,571.915,578.624,564.087,577.062,28220059.375,7336794400.181083
2014-05-30,576.33,577.096,561.596,568.18,19295990.1754386,7286452978.671964
2014-05-31,568.177,618.458,568.157,615.325,23539243.554006968,7567267985.332788
2014-06-01,615.687,624.715,604.471,623.677,25926495.83333333,7918032446.237581
2014-06-02,623.693,671.513,619.906,630.229,26833079.166666668,8275236639.109386
2014-06-03,629.645,665.498,618.745,660.618,47542278.81944445,8162675398.488569
2014-06-04,660.55,674.111,650.784,667.605,51154677.35191637,8509159803.363654
2014-06-05,666.774,668.563,624.089,641.614,48829172.75985664,8248727054.997926
2014-06-06,641.072,663.526,640.09,659.258,26252926.388888888,8377758323.048733
2014-06-07,659.283,661.366,652.304,653.702,24951745.644599304,8443665995.79294
2014-06-08,653.522,656.944,644.907,654.969,19712907.638888888,8401384047.892168
2014-06-09,654.994,658.884,653.47,656.14,9944768.993055556,8444911734.09235
2014-06-10,655.64,657.703,644.393,649.159,14119338.506944444,8373176501.515248
2014-06-11,650.042,659.615,646.564,653.15,18814451.56794425,8414062323.642393
2014-06-12,653.188,657.04,632.547,633.02,20541078.13620072,8326291362.173271
2014-06-13,633.428,638.109,573.272,586.952,26366485.069444444,8065775193.86176
2014-06-14,585.696,615.137,585.696,600.163,59071984.66898955,7722375048.396614
2014-06-15,600.746,601.27,549.821,577.358,30027775.0,7474576561.679715
2014-06-16,575.928,592.937,554.891,592.937,32105776.736111112,7325088720.140704
2014-06-17,592.649,608.72,587.068,592.188,31443928.472222224,7708449055.658922
2014-06-18,591.586,610.889,590.4,610.864,19789391.289198607,7740621801.74158
2014-06-19,609.767,615.881,604.396,607.958,21002427.08333333,7875846263.914585
2014-06-20,608.07,612.241,597.018,598.071,13677202.777777778,7840326874.351931
2014-06-21,597.402,599.754,587.756,594.146,17446822.299651567,7688256270.989178
2014-06-22,593.678,599.462,587.737,594.992,13184339.722222222,7679744997.903536
2014-06-23,595.904,605.997,594.627,602.273,11280778.541666666,7783416568.501836
2014-06-24,602.161,603.212,586.343,593.984,11415530.145454545,7677623283.120286
2014-06-25,593.97,596.971,582.357,582.357,12568735.335689044,7660308113.435838
2014-06-26,581.809,583.599,565.625,566.336,17670253.19148936,7444854646.981097
2014-06-27,566.137,581.629,564.731,581.137,17796393.96226415,7422078470.647236
2014-06-28,581.297,600.124,579.885,597.261,15871705.992509363,7595228174.963274
2014-06-29,599.077,604.473,595.918,596.549,18269280.662983425,7785782081.853385
2014-06-30,596.332,604.076,596.162,602.715,9786132.91044776,7766954785.655692
2014-07-01,602.62,645.155,599.883,639.797,26740321.006944444,8057338150.646123
2014-07-02,641.391,657.858,640.107,640.806,45150228.515625,8435076740.808788
2014-07-03,641.037,656.678,638.339,650.879,31528134.36293436,8396803439.911215
2014-07-04,650.769,650.769,641.303,645.156,22696624.55357143,8378249326.68292
2014-07-05,644.646,648.433,629.403,630.692,19966155.450236965,8290306433.011799
2014-07-06,629.951,633.222,628.004,631.457,16796410.0,8191302163.729913
2014-07-07,631.772,638.653,631.16,635.807,10272828.23255814,8237241057.103784
2014-07-08,635.463,637.157,617.007,624.086,11588070.416666666,8164408444.567699
2014-07-09,622.57,626.695,620.907,624.818,15359606.119402984,8108142044.926685
2014-07-10,625.221,626.998,622.596,624.532,9481762.671480143,8127647315.561276
